No.,Time,Source,Destination,Protocol,Length,Info,
1,2019/306 10:24:19.292843000,IntelCor_78:f6:b3,Broadcast,ARP,42,Who has 192.168.1.5? Tell 192.168.1.13,
6,2019/306 10:24:32.175614000,IntelCor_78:f6:b3,IntelCor_25:bb:38,ARP,42,Who has 192.168.1.1? Tell 192.168.1.12, 
7,2019/306 10:25:16.651274000,IntelCor_78:f6:b3,Broadcast,ARP,42,Who has 192.168.1.1? Tell 192.168.1.13,
9,2019/306 10:25:16.672382000,192.168.1.13,104.126.148.89,TCP,74,50108  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=128456 TSecr=0,
10,2019/306 10:25:16.712867000,192.168.1.13,104.126.148.89,TCP,66,50108  >  80 [ACK] Seq=1 Ack=1 Win=65792 Len=0 TSval=128460 TSecr=1448673568,
13,2019/306 10:25:16.762753000,192.168.1.13,104.126.148.89,TCP,66,50108  >  80 [ACK] Seq=1587 Ack=298 Win=65536 Len=0 TSval=128465 TSecr=1448673618,
16,2019/306 10:25:16.821817000,192.168.1.13,13.83.106.21,TCP,74,50109  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=128471 TSecr=0,
17,2019/306 10:25:16.885229000,192.168.1.13,13.83.106.21,TCP,66,50109  >  80 [ACK] Seq=1 Ack=1 Win=65792 Len=0 TSval=128478 TSecr=4148377729,
28,2019/306 10:25:17.124231000,IntelCor_78:f6:b3,Broadcast,ARP,42,Who has 192.168.1.10? Tell 192.168.1.13,
30,2019/306 10:25:17.141298000,192.168.1.13,104.126.148.89,TCP,74,50111  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=128503 TSecr=0,
31,2019/306 10:25:17.179221000,192.168.1.13,104.126.148.89,TCP,66,50111  >  80 [ACK] Seq=11 Ack=1 Win=66048 Len=0 TSval=128507 TSecr=1448674035,
35,2019/306 10:25:17.225005000,192.168.1.13,104.126.148.89,TCP,66,50111  >  80 [ACK] Seq=1955 Ack=298 Win=65792 Len=0 TSval=128512 TSecr=1448674081,
39,2019/306 10:25:17.266595000,192.168.1.13,13.83.106.21,TCP,74,50113  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=128516 TSecr=0,
40,2019/306 10:25:17.339249000,192.168.1.13,13.83.106.21,TCP,66,50113  >  80 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=128523 TSecr=4148378182,
44,2019/306 10:25:17.485404000,192.168.1.13,192.168.1.10,TCP,74,50112  >  3910 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=128507 TSecr=0,
45,2019/306 10:25:17.500915000,192.168.1.13,192.168.1.10,TCP,66,50112  >  3910 [ACK] Seq=1 Ack=1 Win=66560 Len=0 TSval=128539 TSecr=1047539684,
10308,2019/306 10:34:39.533916000,192.168.1.13,64.79.68.90,TCP,66,49719  >  80 [ACK] Seq=2489 Ack=828541 Win=262144 Len=0 TSval=47560 TSecr=62695885,
10310,2019/306 10:34:39.542472000,192.168.1.13,192.168.1.13,TCP,66,49731  >  80 [ACK] Seq=2232 Ack=819899 Win=262144 Len=0 TSval=47561 TSecr=62695885,
24728,2019/306 10:34:28.132387,192.168.1.13,104.100.227.58,TCP,66,51227  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0 TSval=329962073 TSecr=1259564229,
24400,2019/306 10:34:27.825237,192.168.1.13,104.100.227.58,TCP,74,51227  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=329961766 TSecr=0,
24726,2019/306 10:34:28.132118,192.168.1.13,104.100.227.58,TCP,66,51228  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0 TSval=329962072 TSecr=1259564227,
24401,2019/306 10:34:27.82567,192.168.1.13,104.100.227.58,TCP,74,51228  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=329961766 TSecr=0,
21953,2019/306 10:34:25.507171,192.168.1.13,104.100.233.72,TCP,66,51172  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0 TSval=329959448 TSecr=2908758255,
21649,2019/306 10:34:25.223429,192.168.1.13,104.100.233.72,TCP,74,51172  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=329959164 TSecr=0,
284,2019/306 10:34:6.473411,192.168.1.13,104.193.88.123,TCP,66,50657  >  80 [ACK] Seq=1 Ack=1 Win=131584 Len=0 TSval=329940414 TSecr=1955804312,
181,2019/306 10:34:6.392386,192.168.1.13,104.193.88.123,TCP,74,50657  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=329940333 TSecr=0,
